direction,number,word,clue,rank_en_50k,count_en_50k,why_selected
Across,44,ACE,Top card in a deck,4503,7987,Common word: preferred during weighted search while satisfying crossings.
Across,45,DRUG,Medicine or narcotic,1397,36316,High-frequency anchor: favored strongly by the generator objective.
Down,45,DENIM,Blue-jeans fabric,22067,696,Lower-frequency constraint fill: chosen because crossings/pattern restricted options.
Across,46,DOO,Scooby-___,6607,4732,Common word: preferred during weighted search while satisfying crossings.
Across,47,ELK,Large antlered deer,16678,1116,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Down,47,EPI,"Prefix meaning ""upon""",16339,1154,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,48,LEUNG,Surname of actor Tony ___,17745,1005,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Down,48,LOCO,"Crazy, in Spanish",15163,1300,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,49,SARIN,Nerve agent banned by treaty,26182,521,Lower-frequency constraint fill: chosen because crossings/pattern restricted options.
Down,49,SLAV,Member of an Eastern European people,43002,211,Lower-frequency constraint fill: chosen because crossings/pattern restricted options.
Down,50,ALMA,___ mater,10045,2492,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,51,POISONS,Toxins,16391,1148,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Down,52,SAN,Japanese honorific suffix,1775,26690,High-frequency anchor: favored strongly by the generator objective.
Across,53,YELLING,Shouting loudly,1904,24425,High-frequency anchor: favored strongly by the generator objective.
Down,54,EYE,Organ of vision,711,81953,High-frequency anchor: favored strongly by the generator objective.
Across,55,IGNACIO,Spanish given name,19334,875,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,56,YAMATO,Old province name in Japan,13776,1511,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,57,GNOME,Garden statue figure,17727,1007,Medium-frequency fit: accepted to keep the grid fully crossed and valid.
Across,58,EVANS,Surname of actor Chris ___,6117,5231,Common word: preferred during weighted search while satisfying crossings.
